source,target,weight
z794,e1165,0.3471
z794,e1122,0.3869
z794,i2510,0.2091
z794,z20828,
z794,n1830,
n186,e1122,0.3518
n186,z992,0.8873
n186,z20828,
j45909,z20828,
r0602,z20828,
i110,i2510,0.20199999999999999
i110,z20828,
z992,e1122,0.3169
z992,z20828,
e7800,z20828,
e7800,n1830,
i129,e1122,0.3969
i129,n189,0.3541
i129,z20828,
i129,n1830,
j449,z20828,
j449,n1830,
n400,z20828,
n400,n1830,
f419,f329,0.3624
f419,z20828,
d72829,z20828,
z7984,e1165,0.2377
z7984,z20828,
z7984,n1830,
z20828,e1165,
z20828,z515,
z20828,d62,
z20828,e1122,
z20828,e876,
z20828,f17210,
z20828,f329,
z20828,i130,
z20828,i2510,
z20828,i4891,
z20828,j9621,
z20828,n189,
z20828,n390,
z20828,m1990,
z20828,z7901,
z20828,z86718,
z20828,z8673,
z20828,z880,
z20828,n1830,
j9621,n1830,
i2510,e1122,0.2373
i2510,z7901,0.2373
i2510,n1830,
z515,n1830,
e1122,e1165,0.2645
e1122,i130,0.2987
e1122,n189,0.23
e1122,n1830,
n390,n1830,
z86718,z7901,0.2393
z86718,n1830,
i130,n189,0.2223
i130,n1830,
z7901,i4891,0.2507
z7901,n1830,
z8673,n1830,
n1830,e1165,
n1830,i4891,
n1830,m1990,
